npcname_JP.	妹
npcname_EN.	younger sister
numflavor_passiveJP.	7
numflavor_passiveEN.	0
flavorpassive_JP.0	「%onii%ちゃんー」
flavorpassive_JP.1	「%onii%ちゃん！」
flavorpassive_JP.2	「%onii%ちゃ～ん」
flavorpassive_JP.3	「%onii%ちゃんっ」
flavorpassive_JP.4	「%onii%ちゃん？」
flavorpassive_JP.5	「%onii%～ちゃん」
flavorpassive_JP.6	「%onii%ちゃん♪」
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	1
numflavor_deathEN.	0
flavordeath_JP.0	「ダメぇ！」
numflavor_killJP.	3
numflavor_killEN.	0
flavorkill_JP.0	あなたは妹の頭をなでた。
flavorkill_JP.1	あなたは妹の姿に目を細めた。
flavorkill_JP.2	妹は上目づかいにあなたの顔を覗いた。
numflavor_welcomeJP.	3
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「おかえり、%onii%ちゃん！」
flavorwelcome_JP.1	「おかえりなさーい、%onii%ちゃん♪」
flavorwelcome_JP.2	「待ってたよ、%onii%ちゃん」
